record_id,document_type,image_filename,extracted_date,extracted_store_or_dept,extracted_amount,extracted_scores,extracted_note,confidence,preprocessing_used,error_message
R-0048,receipt,data/input_images/receipts/receipt_048_R-0048.jpg,2026-05-18,업무자동화카페,95150,,프로젝트 자료,0.9834,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0052,survey,data/input_images/surveys/survey_052_S-0052.jpg,2026-03-11,기획팀,,"5,5,1",데이터 보정 기능 좋음,0.9545,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0055,receipt,data/input_images/receipts/receipt_055_R-0055.jpg,2026-03-19,업무자동화카페,91300,,대시보드 검토,0.9732,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0044,survey,data/input_images/surveys/survey_044_S-0044.jpg,2026-06-09,데이터팀,,"2,3,5",이미지 업로드 편리,0.9657,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0107,receipt,data/input_images/receipts/receipt_107_R-0107.jpg,2026-03-30,스마트오피스,89100,,실습 준비용,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0111,receipt,data/input_images/receipts/receipt_111_R-0111.jpg,2026-04-08,테크문구,140250,,대시보드 검토,0.9749,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0033,survey,data/input_images/surveys/survey_033_S-0033.jpg,2026-07-09,교육팀,,"5,5,3",보고서 자동화 유용,0.9542,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0069,receipt,data/input_images/receipts/receipt_069_R-0069.jpg,2026-07-03,테크문구,191950,,현장 실습비,0.977,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0087,receipt,data/input_images/receipts/receipt_087_R-0087.jpg,2026-06-05,업무자동화카페,254650,,대시보드 검토,0.987,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0119,receipt,data/input_images/receipts/receipt_119_R-0119.jpg,2026-06-27,모두카페,80300,,프로젝트 자료,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0109,survey,data/input_images/surveys/survey_109_S-0109.jpg,2026-04-14,운영팀,,"4,4,2",속도 개선 필요,0.988,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0005,receipt,data/input_images/receipts/receipt_005_R-0005.jpg,2026-05-14,모두카페,202950,,실습 준비용,0.9736,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0117,survey,data/input_images/surveys/survey_117_S-0117.jpg,2026-03-12,재무팀,,"5,5,3",데이터 보정 기능 좋음,0.9832,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0020,survey,data/input_images/surveys/survey_020_S-0020.jpg,2026-04-16,인사팀,,"2,2,1",입력 절차가 간단함,0.9849,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0093,receipt,data/input_images/receipts/receipt_093_R-0093.jpg,2026-06-16,업무자동화카페,163900,,프로젝트 자료,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0105,receipt,data/input_images/receipts/receipt_105_R-0105.jpg,2026-04-28,모두카페,126500,,팀 회의 사용,0.972,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0096,survey,data/input_images/surveys/survey_096_S-0096.jpg,2026-03-19,재무팀,,"2,2,4",입력 절차가 간단함,0.9558,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0097,survey,data/input_images/surveys/survey_097_S-0097.jpg,2026-04-30,영업팀,,"4,2,4",이미지 업로드 편리,0.9403,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0115,survey,data/input_images/surveys/survey_115_S-0115.jpg,2026-05-10,데이터팀,,"5,2,4",데이터 보정 기능 좋음,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0057,receipt,data/input_images/receipts/receipt_057_R-0057.jpg,2026-05-15,업무자동화카페,320100,,현장 실습비,0.9734,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0056,receipt,data/input_images/receipts/receipt_056_R-0056.jpg,2026-04-12,데이터랩서점,64350,,현장 실습비,0.978,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0078,receipt,data/input_images/receipts/receipt_078_R-0078.jpg,2026-04-01,클라우드문구,206800,,프로젝트 자료,0.987,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
S-0106,survey,data/input_images/surveys/survey_106_S-0106.jpg,2026-05-19,기획팀,,"5,3,2",대시보드가 보기 쉬움,0.9845,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
R-0072,receipt,data/input_images/receipts/receipt_072_R-0072.jpg,2026-05-09,서울프린트,305250,,현장 실습비,0.9757,True (Grayscale+CLAHE+Denoise+AdaptiveThreshold),
