record_id,document_type,image_filename,doc_date,organization_or_store,respondent_dept,category,total_amount,satisfaction_score,usability_score,speed_score,avg_survey_score,handwritten_note,confidence,is_low_resolution,has_noise,ocr_status,date_imputed,amount_imputed,score_imputed,note_imputed,imputed_fields_count,needs_review,review_reason
R-0048,receipt,data/input_images/receipts/receipt_048_R-0048.jpg,2026-05-18,업무자동화카페,,인쇄제본,95150.0,,,,,프로젝트 자료,0.9834,False,False,정상추출,False,False,False,False,0,False,
S-0052,survey,data/input_images/surveys/survey_052_S-0052.jpg,2026-03-11,,기획팀,만족도설문,,5.0,5.0,1.0,3.67,데이터 보정 기능 좋음,0.9545,True,True,정상추출,False,False,False,False,0,False,
R-0055,receipt,data/input_images/receipts/receipt_055_R-0055.jpg,2026-03-19,업무자동화카페,,인쇄제본,91300.0,,,,,대시보드 검토,0.9732,True,False,정상추출,False,False,False,False,0,False,
S-0044,survey,data/input_images/surveys/survey_044_S-0044.jpg,2026-06-09,,데이터팀,만족도설문,,2.0,3.0,5.0,3.33,이미지 업로드 편리,0.9657,False,True,정상추출,False,False,False,False,0,False,
R-0107,receipt,data/input_images/receipts/receipt_107_R-0107.jpg,2026-03-30,스마트오피스,,클라우드서비스,89100.0,,,,,실습 준비용,0.9845,False,False,정상추출,False,False,False,False,0,False,
R-0111,receipt,data/input_images/receipts/receipt_111_R-0111.jpg,2026-04-08,테크문구,,사무용품,140250.0,,,,,대시보드 검토,0.9749,True,False,정상추출,False,False,False,False,0,False,
S-0033,survey,data/input_images/surveys/survey_033_S-0033.jpg,2026-07-09,,교육팀,만족도설문,,5.0,5.0,3.0,4.33,보고서 자동화 유용,0.9542,False,False,정상추출,False,False,False,False,0,False,
R-0069,receipt,data/input_images/receipts/receipt_069_R-0069.jpg,2026-07-03,테크문구,,클라우드서비스,191950.0,,,,,현장 실습비,0.977,False,True,정상추출,False,False,False,False,0,False,
R-0087,receipt,data/input_images/receipts/receipt_087_R-0087.jpg,2026-06-05,업무자동화카페,,교육운영,254650.0,,,,,대시보드 검토,0.987,False,False,정상추출,False,False,False,False,0,False,
R-0119,receipt,data/input_images/receipts/receipt_119_R-0119.jpg,2026-06-27,모두카페,,인쇄제본,80300.0,,,,,프로젝트 자료,0.988,False,False,정상추출,False,False,False,False,0,False,
S-0109,survey,data/input_images/surveys/survey_109_S-0109.jpg,2026-04-14,,운영팀,만족도설문,,4.0,4.0,2.0,3.33,속도 개선 필요,0.988,False,False,정상추출,False,False,False,False,0,False,
R-0005,receipt,data/input_images/receipts/receipt_005_R-0005.jpg,2026-05-14,모두카페,,클라우드서비스,202950.0,,,,,실습 준비용,0.9736,False,False,정상추출,False,False,False,False,0,False,
S-0117,survey,data/input_images/surveys/survey_117_S-0117.jpg,2026-03-12,,재무팀,만족도설문,,5.0,5.0,3.0,4.33,데이터 보정 기능 좋음,0.9832,False,False,정상추출,False,False,False,False,0,False,
S-0020,survey,data/input_images/surveys/survey_020_S-0020.jpg,2026-04-16,,인사팀,만족도설문,,2.0,2.0,1.0,1.67,입력 절차가 간단함,0.9849,False,False,정상추출,False,False,False,False,0,False,
R-0093,receipt,data/input_images/receipts/receipt_093_R-0093.jpg,2026-06-16,업무자동화카페,,인쇄제본,163900.0,,,,,프로젝트 자료,0.9734,True,False,정상추출,False,False,False,False,0,False,
R-0105,receipt,data/input_images/receipts/receipt_105_R-0105.jpg,2026-04-28,모두카페,,도서자료,126500.0,,,,,팀 회의 사용,0.972,False,False,정상추출,False,False,False,False,0,False,
S-0096,survey,data/input_images/surveys/survey_096_S-0096.jpg,2026-03-19,,재무팀,만족도설문,,2.0,2.0,4.0,2.67,입력 절차가 간단함,0.9558,False,False,정상추출,False,False,False,False,0,False,
S-0097,survey,data/input_images/surveys/survey_097_S-0097.jpg,2026-04-30,,영업팀,만족도설문,,4.0,3.2,3.7,3.63,이미지 업로드 편리,0.9103,False,True,결측치보완완료,False,False,True,False,1,True,설문점수 부서평균보간
S-0115,survey,data/input_images/surveys/survey_115_S-0115.jpg,2026-05-10,,데이터팀,만족도설문,,5.0,2.0,4.0,3.67,데이터 보정 기능 좋음,0.9845,False,False,정상추출,False,False,False,False,0,False,
R-0057,receipt,data/input_images/receipts/receipt_057_R-0057.jpg,2026-05-15,업무자동화카페,,사무용품,320100.0,,,,,현장 실습비,0.9734,True,False,정상추출,False,False,False,False,0,False,
R-0056,receipt,data/input_images/receipts/receipt_056_R-0056.jpg,2026-04-12,데이터랩서점,,도서자료,64350.0,,,,,현장 실습비,0.978,False,True,정상추출,False,False,False,False,0,False,
R-0078,receipt,data/input_images/receipts/receipt_078_R-0078.jpg,2026-04-01,클라우드문구,,인쇄제본,206800.0,,,,,프로젝트 자료,0.987,False,False,정상추출,False,False,False,False,0,False,
S-0106,survey,data/input_images/surveys/survey_106_S-0106.jpg,2026-05-19,,기획팀,만족도설문,,5.0,3.0,2.0,3.33,대시보드가 보기 쉬움,0.9845,False,False,정상추출,False,False,False,False,0,False,
R-0072,receipt,data/input_images/receipts/receipt_072_R-0072.jpg,2026-05-09,서울프린트,,교육운영,305250.0,,,,,현장 실습비,0.9757,False,False,정상추출,False,False,False,False,0,False,
S-0064,survey,data/input_images/surveys/survey_064_S-0064.jpg,2026-04-06,,운영팀,만족도설문,,4.0,3.0,5.0,4.0,메뉴 구성이 좋음,0.988,False,False,정상추출,False,False,False,False,0,False,
R-0115,receipt,data/input_images/receipts/receipt_115_R-0115.jpg,2026-05-10,AI세미나센터,,클라우드서비스,142450.0,,,,,프로젝트 자료,0.9142,False,True,결측치보완완료,False,True,False,False,1,True,영수증 금액 원본보완
S-0013,survey,data/input_images/surveys/survey_013_S-0013.jpg,2026-05-20,,재무팀,만족도설문,,5.0,5.0,3.0,4.33,보고서 자동화 유용,0.9736,False,False,정상추출,False,False,False,False,0,False,
R-0070,receipt,data/input_images/receipts/receipt_070_R-0070.jpg,2026-05-28,그린오피스,,사무용품,91300.0,,,,,대시보드 검토,0.9542,False,False,정상추출,False,False,False,False,0,False,
R-0024,receipt,data/input_images/receipts/receipt_024_R-0024.jpg,2026-06-28,업무자동화카페,,회의비,240350.0,,,,,확인필요,0.932,False,True,결측치보완완료,False,False,False,True,1,True,수기메모 누락(확인필요)
S-0037,survey,data/input_images/surveys/survey_037_S-0037.jpg,2026-05-31,,교육팀,만족도설문,,3.0,4.0,3.0,3.33,속도 개선 필요,0.978,False,True,정상추출,False,False,False,False,0,False,
R-0052,receipt,data/input_images/receipts/receipt_052_R-0052.jpg,2026-03-03,서울프린트,,사무용품,135300.0,,,,,실습 준비용,0.9542,False,False,정상추출,False,False,False,False,0,False,
R-0011,receipt,data/input_images/receipts/receipt_011_R-0011.jpg,2026-04-01,모두카페,,사무용품,167750.0,,,,,프로젝트 자료,0.961,False,False,정상추출,False,False,False,False,0,False,
R-0053,receipt,data/input_images/receipts/receipt_053_R-0053.jpg,2026-05-24,서울프린트,,인쇄제본,150700.0,,,,,프로젝트 자료,0.9845,False,False,정상추출,False,False,False,False,0,False,
R-0026,receipt,data/input_images/receipts/receipt_026_R-0026.jpg,2026-03-29,스마트오피스,,인쇄제본,183700.0,,,,,OCR 테스트용,0.9845,False,False,정상추출,False,False,False,False,0,False,
S-0092,survey,data/input_images/surveys/survey_092_S-0092.jpg,2026-06-17,,마케팅팀,만족도설문,,2.0,2.0,3.0,2.33,보고서 자동화 유용,0.9734,True,False,정상추출,False,False,False,False,0,False,
R-0062,receipt,data/input_images/receipts/receipt_062_R-0062.jpg,2026-05-22,데이터랩서점,,회의비,77000.0,,,,,프로젝트 자료,0.9745,False,True,정상추출,False,False,False,False,0,False,
